Step 0, Time: 0.01, MPIs: 8 Threads: 14 Elapsed: 0.0805645
  calc@petapm.c:0332                0.02  1.6%        0.01  1.7%        0.00       0.01
  cic@petapm.c:0265                 0.00  0.2%        0.00  0.2%        0.00       0.00
  comm2@petapm.c:0286               0.01  1.0%        0.00  1.1%        0.00       0.00
  comm@petapm.c:0269                0.01  0.6%        0.00  0.6%        0.00       0.00
  comm@petapm.c:0340                0.05  3.8%        0.02  4.3%        0.01       0.02
  r2c@petapm.c:0308                 0.04  3.5%        0.01  3.4%        0.01       0.01
  readout@petapm.c:0343             0.01  0.6%        0.00  0.7%        0.00       0.01
 Timeline                          0.01  0.7%        0.00  0.6%        0.00       0.00
  Active@timestep.c:0815            0.00  0.4%        0.00  0.2%        0.00       0.00
  HalfKick                          0.00  0.1%        0.00  0.1%        0.00       0.00
   Long@timestep.c:0402              0.00  0.1%        0.00  0.0%        0.00       0.00
   Short@timestep.c:0379             0.00  0.0%        0.00  0.1%        0.00       0.00
 Timeline@timestep.c:0311          0.00  0.2%        0.00  0.3%        0.00       0.00
 Tree                              0.80 65.9%        0.27 69.7%        0.27       0.27
  Build                             0.01  0.5%        0.00  0.6%        0.00       0.00
   Moments@forcetree.c:0152          0.01  0.4%        0.00  0.5%        0.00       0.00
   Nodes@forcetree.c:0203            0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@gravshort-tree.c:0165        0.00  0.3%        0.00  0.3%        0.00       0.00
  PostProcess@gravshort-tree.c:0157        0.00  0.0%        0.00  0.0%        0.00       0.00
  Recv@gravshort-tree.c:0159        0.04  2.9%        0.02  4.4%        0.00       0.03
  Send@gravshort-tree.c:0158        0.01  0.9%        0.00  0.9%        0.00       0.00
  Wait1@gravshort-tree.c:0160        0.05  4.1%        0.02  4.6%        0.00       0.03
  Wait2@gravshort-tree.c:0161        0.00  0.0%        0.00  0.0%        0.00       0.00
  Walk1@gravshort-tree.c:0155        0.51 42.1%        0.17 43.1%        0.16       0.19
  Walk2@gravshort-tree.c:0156        0.18 14.9%        0.06 15.8%        0.05       0.08
Step 3, Time: 0.0117864, MPIs: 8 Threads: 14 Elapsed: 1.68198
                                   1.68 99.8%        0.46 100.0%        0.46       0.46
 Domain                            0.08  4.8%        0.01  3.2%        0.01       0.02
  Decompose                         0.00  0.2%        0.00  0.1%        0.00       0.00
   Misc@domain.c:0355                0.00  0.0%        0.00  0.0%        0.00       0.00
   Sumcost@domain.c:0407             0.00  0.1%        0.00  0.1%        0.00       0.00
   assignbalance@domain.c:0412        0.00  0.0%        0.00  0.0%        0.00       0.00
   memorybound@domain.c:0418         0.00  0.0%        0.00  0.0%        0.00       0.00
  DetermineTopTree                  0.04  2.3%        0.01  1.8%        0.01       0.01
   Addnodes@domain.c:1211            0.00  0.0%        0.00  0.0%        0.00       0.00
   Combine@domain.c:1199             0.00  0.1%        0.00  0.1%        0.00       0.00
   CreateLeaves@domain.c:0378        0.00  0.0%        0.00  0.0%        0.00       0.00
   LocalRefine                       0.00  0.0%        0.00  0.0%        0.00       0.00
    Init@domain.c:1159                0.00  0.0%        0.00  0.0%        0.00       0.00
    truncate@domain.c:1177            0.00  0.0%        0.00  0.0%        0.00       0.00
   Misc@domain.c:1150                0.00  0.0%        0.00  0.0%        0.00       0.00
   Sort@domain.c:0950                0.03  2.0%        0.01  1.7%        0.01       0.01
  PeanoSort@domain.c:0229           0.02  1.0%        0.00  0.8%        0.00       0.00
  exchange                          0.02  1.4%        0.00  0.4%        0.00       0.00
   alltoall@exchange.c:0354          0.02  0.9%        0.00  0.2%        0.00       0.00
   finalize@exchange.c:0377          0.00  0.0%        0.00  0.0%        0.00       0.00
   garbage@exchange.c:0254           0.00  0.1%        0.00  0.0%        0.00       0.00
   init@exchange.c:0115              0.00  0.0%        0.00  0.0%        0.00       0.00
   makebuf@exchange.c:0243           0.00  0.2%        0.00  0.1%        0.00       0.00
   togo@exchange.c:0130              0.00  0.0%        0.00  0.0%        0.00       0.00
   togo@exchange.c:0137              0.00  0.2%        0.00  0.1%        0.00       0.00
  All@drift.c:0110                  0.00  0.1%        0.00  0.1%        0.00       0.00
 Init@init.c:0256                  0.05  2.9%        0.00  0.0%        0.00       0.00
 LongRange@gravpm.c:0097           0.00  0.3%        0.00  0.3%        0.00       0.00
 Misc@checkpoint.c:0026            0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@domain.c:0168                0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@drift.c:0094                 0.01  0.4%        0.00  0.2%        0.00       0.00
 Misc@forcetree.c:0147             0.01  0.3%        0.00  0.3%        0.00       0.00
 Misc@gravshort-tree.c:0138        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@gravshort-tree.c:0144        0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@run.c:0153                   0.00  0.0%        0.00  0.0%        0.00       0.00
 Misc@timestep.c:0187              0.01  0.4%        0.00  0.6%        0.00       0.00
 Misc@timestep.c:0336              0.00  0.0%        0.00  0.0%        0.00       0.00
 PMgrav                            0.39 23.0%        0.12 25.4%        0.12       0.12
  Misc@petapm.c:0263                0.00  0.1%        0.00  0.1%        0.00       0.00
  Misc@petapm.c:0345                0.00  0.0%        0.00  0.0%        0.00       0.00
  Regions@gravpm.c:0188             0.00  0.0%        0.00  0.0%        0.00       0.00
  c2r@petapm.c:0336                 0.19 11.2%        0.06 12.9%        0.05       0.07
  calc@petapm.c:0332                0.03  1.6%        0.01  1.6%        0.01       0.01
  cic@petapm.c:0265                 0.00  0.2%        0.00  0.2%        0.00       0.00
  comm2@petapm.c:0286               0.02  1.0%        0.00  1.0%        0.00       0.00
  comm@petapm.c:0269                0.01  0.6%        0.00  0.6%        0.00       0.00
  comm@petapm.c:0340                0.07  4.2%        0.02  5.3%        0.02       0.03
  r2c@petapm.c:0308                 0.06  3.4%        0.02  3.3%        0.01       0.02
  readout@petapm.c:0343             0.01  0.6%        0.00  0.6%        0.00       0.01
 Timeline                          0.01  0.7%        0.00  0.6%        0.00       0.00
  Active@timestep.c:0815            0.01  0.3%        0.00  0.2%        0.00       0.00
  HalfKick                          0.00  0.1%        0.00  0.1%        0.00       0.00
   Long@timestep.c:0402              0.00  0.0%        0.00  0.0%        0.00       0.00
   Short@timestep.c:0379             0.00  0.0%        0.00  0.0%        0.00       0.00
 Timeline@timestep.c:0311          0.00  0.2%        0.00  0.3%        0.00       0.00
 Tree                              1.12 66.8%        0.32 69.3%        0.32       0.32
  Build                             0.01  0.6%        0.00  0.8%        0.00       0.00
